"","Pos","Team","Pts","year"
"494",2,"Ferrari",201,2006
"495",3,"McLaren Mercedes",110,2006
"496",4,"Honda",86,2006
"497",5,"Sauber BMW",36,2006
"498",6,"Toyota",35,2006
"499",7,"RBR Ferrari",16,2006
"500",8,"Williams Cosworth",11,2006
"501",9,"STR Cosworth",1,2006
"502",10,"MF1 Toyota",0,2006
"503",11,"Super Aguri Honda",0,2006
"504",1,"Ferrari",204,2007
"505",2,"Sauber BMW",101,2007
"506",3,"Renault",51,2007
"507",4,"Williams Toyota",33,2007
"508",5,"Red Bull Renault",24,2007
"509",6,"Toyota",13,2007
"510",7,"STR Ferrari",8,2007
"511",8,"Honda",6,2007
"512",9,"Super Aguri Honda",4,2007
"513",10,"Spyker Ferrari",1,2007
"514",NA,"McLaren Mercedes",0,2007
"515",1,"Ferrari",172,2008
"516",2,"McLaren Mercedes",151,2008
"517",3,"Sauber BMW",135,2008
"518",4,"Renault",80,2008
"519",5,"Toyota",56,2008
"520",6,"STR Ferrari",39,2008
"521",7,"Red Bull Renault",29,2008
"522",8,"Williams Toyota",26,2008
"523",9,"Honda",14,2008
"524",10,"Force India Ferrari",0,2008
"525",11,"Super Aguri Honda",0,2008
"526",1,"Brawn Mercedes",172,2009
"527",2,"RBR Renault",153,2009
"528",3,"McLaren Mercedes",71,2009
"529",4,"Ferrari",70,2009
"530",5,"Toyota",59,2009
"531",6,"Sauber BMW",36,2009
"532",7,"Williams Toyota",34,2009
"533",8,"Renault",26,2009
"534",9,"Force India Mercedes",13,2009
"535",10,"STR Ferrari",8,2009
"536",1,"RBR Renault",498,2010
"537",2,"McLaren Mercedes",454,2010
"538",3,"Ferrari",396,2010
"539",4,"Mercedes",214,2010
"540",5,"Renault",163,2010
"541",6,"Williams Cosworth",69,2010
"542",7,"Force India Mercedes",68,2010
"543",8,"Sauber Ferrari",44,2010
"544",9,"STR Ferrari",13,2010
"545",10,"Lotus Cosworth",0,2010
"546",11,"HRT Cosworth",0,2010
"547",12,"Virgin Cosworth",0,2010
"548",1,"Red Bull Racing Renault",650,2011
"549",2,"McLaren Mercedes",497,2011
"550",3,"Ferrari",375,2011
"551",4,"Mercedes",165,2011
"552",5,"Renault",73,2011
"553",6,"Force India Mercedes",69,2011
"554",7,"Sauber Ferrari",44,2011
"555",8,"STR Ferrari",41,2011
"556",9,"Williams Cosworth",5,2011
"557",10,"Lotus Renault",0,2011
"558",11,"HRT Cosworth",0,2011
"559",12,"Virgin Cosworth",0,2011
"560",1,"Red Bull Racing Renault",460,2012
"561",2,"Ferrari",400,2012
"562",3,"McLaren Mercedes",378,2012
"563",4,"Lotus Renault",303,2012
"564",5,"Mercedes",142,2012
"565",6,"Sauber Ferrari",126,2012
"566",7,"Force India Mercedes",109,2012
"567",8,"Williams Renault",76,2012
"568",9,"STR Ferrari",26,2012
"569",10,"Caterham Renault",0,2012
"570",11,"Marussia Cosworth",0,2012
"571",12,"HRT Cosworth",0,2012
"572",1,"Red Bull Racing Renault",596,2013
"573",2,"Mercedes",360,2013
"574",3,"Ferrari",354,2013
"575",4,"Lotus Renault",315,2013
"576",5,"McLaren Mercedes",122,2013
"577",6,"Force India Mercedes",77,2013
"578",7,"Sauber Ferrari",57,2013
"579",8,"STR Ferrari",33,2013
"580",9,"Williams Renault",5,2013
"581",10,"Marussia Cosworth",0,2013
"582",11,"Caterham Renault",0,2013
"583",1,"Mercedes",701,2014
"584",2,"Red Bull Racing Renault",405,2014
"585",3,"Williams Mercedes",320,2014
"586",4,"Ferrari",216,2014
"587",5,"McLaren Mercedes",181,2014
"588",6,"Force India Mercedes",155,2014
"589",7,"STR Renault",30,2014
"590",8,"Lotus Renault",10,2014
"591",9,"Marussia Ferrari",2,2014
"592",10,"Sauber Ferrari",0,2014
"593",11,"Caterham Renault",0,2014
"594",1,"Mercedes",703,2015
"595",2,"Ferrari",428,2015
"596",3,"Williams Mercedes",257,2015
"597",4,"Red Bull Racing Renault",187,2015
"598",5,"Force India Mercedes",136,2015
"599",6,"Lotus Mercedes",78,2015
"600",7,"STR Renault",67,2015
"601",8,"Sauber Ferrari",36,2015
"602",9,"McLaren Honda",27,2015
"603",10,"Marussia Ferrari",0,2015
"604",1,"Mercedes",765,2016
"605",2,"Red Bull Racing TAG Heuer",468,2016
"606",3,"Ferrari",398,2016
"607",4,"Force India Mercedes",173,2016
"608",5,"Williams Mercedes",138,2016
"609",6,"McLaren Honda",76,2016
"610",7,"Toro Rosso Ferrari",63,2016
"611",8,"Haas Ferrari",29,2016
"612",9,"Renault",8,2016
"613",10,"Sauber Ferrari",2,2016
"614",11,"MRT Mercedes",1,2016
"615",1,"Mercedes",668,2017
"616",2,"Ferrari",522,2017
"617",3,"Red Bull Racing TAG Heuer",368,2017
"618",4,"Force India Mercedes",187,2017
"619",5,"Williams Mercedes",83,2017
"620",6,"Renault",57,2017
"621",7,"Toro Rosso",53,2017
"622",8,"Haas Ferrari",47,2017
"623",9,"McLaren Honda",30,2017
"624",10,"Sauber Ferrari",5,2017
"625",1,"Mercedes",655,2018
"626",2,"Ferrari",571,2018
"627",3,"Red Bull Racing TAG Heuer",419,2018
"628",4,"Renault",122,2018
"629",5,"Haas Ferrari",93,2018
"630",6,"McLaren Renault",62,2018
"631",7,"Force India Mercedes",52,2018
"632",8,"Sauber Ferrari",48,2018
"633",9,"Scuderia Toro Rosso Honda",33,2018
"634",10,"Williams Mercedes",7,2018
"635",NA,"Force India Sahara",0,2018
"636",1,"Mercedes",739,2019
"637",2,"Ferrari",504,2019
"638",3,"Red Bull Racing Honda",417,2019
"639",4,"McLaren Renault",145,2019
"640",5,"Renault",91,2019
"641",6,"Scuderia Toro Rosso Honda",85,2019
"642",7,"Racing Point BWT Mercedes",73,2019
"643",8,"Alfa Romeo Racing Ferrari",57,2019
"644",9,"Haas Ferrari",28,2019
"645",10,"Williams Mercedes",1,2019
"646",1,"Mercedes",573,2020
"647",2,"Red Bull Racing Honda",319,2020
"648",3,"McLaren Renault",202,2020
"649",4,"Racing Point BWT Mercedes",195,2020
"650",5,"Renault",181,2020
"651",6,"Ferrari",131,2020
"652",7,"AlphaTauri Honda",107,2020
"653",8,"Alfa Romeo Racing Ferrari",8,2020
"654",9,"Haas Ferrari",3,2020
"655",10,"Williams Mercedes",0,2020
"656",1,"Mercedes",41,2021
"657",2,"Red Bull Racing Honda",28,2021
"658",3,"McLaren Mercedes",18,2021
"659",4,"Ferrari",12,2021
"660",5,"AlphaTauri Honda",2,2021
"661",6,"Aston Martin Mercedes",1,2021
"662",7,"Alfa Romeo Racing Ferrari",0,2021
"663",8,"Alpine Renault",0,2021
"664",9,"Williams Mercedes",0,2021
"665",10,"Haas Ferrari",0,2021
